horseNumber;horseName;horseSex;horseAge;driver;betDistribution;earnings;winPercent;recordSuffix;recordDecimal;earningsPerStart;shoeInfo;cartInfo;lifeStats-tot;lifeStats-1;lifeStats-2;lifeStats-3;vOdds;pOdds;Tränare;Plats%;Snittodds;Poäng;Hemmabana;raceIdx;result;won;pValue;plats
6;130;0;5;65;0.0141;246900;0.31;67;13;15431;2;0;16;5;2;0;44.46;7.69;97;0.44;3.64;2189;12;4;4;0;0.0;0
7;131;0;4;3;0.0083;174300;0.11;15;12;9173;2;1;19;2;2;1;56.05;9.02;11;0.26;9.51;1880;8;4;utg;0;0.0;0
8;132;0;9;6;0.0378;224500;0.19;17;12;10690;2;1;21;4;2;0;26.57;4.57;98;0.29;3.97;1904;6;4;1;1;26.57;1
9;133;2;6;63;0.0052;240600;0.31;0;13;15037;1;0;16;5;3;2;99.9;99.9;91;0.63;5.67;1573;15;4;s;0;0.0;0
10;134;2;5;66;0.006999999999999999;246400;0.16;11;10;9856;2;1;25;4;2;3;60.68;9.13;99;0.36;4.02;1894;15;4;6;0;0.0;0
11;135;0;5;67;0.127;239000;0.4;3;13;23900;2;1;10;4;2;1;5.53;2.03;100;0.7;8.50;1535;12;4;d;0;0.0;0
0;136;1;8;68;0.0063;928500;0.18;68;7;11903;2;0;78;14;7;6;55.87;6.41;101;0.35;6.61;1765;4;5;8;0;0.0;0
1;137;0;8;51;0.017;1390500;0.25;69;6;23567;1;1;59;15;5;10;99.9;99.9;102;0.51;6.09;1270;4;5;s;0;0.0;0
2;138;0;7;65;0.17379999999999998;1542000;0.27;22;7;32125;2;0;48;13;4;4;5.33;1.77;103;0.44;6.27;1070;12;5;2;0;0.0;1
3;139;0;8;69;0.0808;1656200;0.32;50;7;26288;2;1;63;20;11;8;8.61;1.96;104;0.62;4.54;2125;22;5;4;0;0.0;0
4;140;0;8;63;0.6175999999999999;1164000;0.27;23;7;28390;2;1;41;11;8;2;1.54;1.12;91;0.51;5.15;6800;15;5;5;0;0.0;0
5;141;0;6;46;0.0155;945152;0.26;70;11;21980;2;1;43;11;6;11;28.22;3.51;105;0.65;13.37;2005;23;5;6;0;0.0;0
6;142;1;7;3;0.0053;1155500;0.19;31;11;21398;2;1;54;10;12;9;58.46;6.74;88;0.57;4.91;1505;11;5;99;0;0.0;0
7;143;0;8;70;0.0015;825400;0.13;38;11;11625;2;0;71;9;11;13;140.61;15.53;106;0.46;14.41;839;5;5;7;0;0.0;0
8;144;1;6;44;0.0581;1630000;0.18;71;7;42894;2;0;38;7;8;3;12.31;2.15;64;0.47;16.84;4765;4;5;1;1;12.31;1
9;145;0;12;71;0.0013;1240823;0.13;71;7;9057;2;0;137;18;5;12;139.69;17.64;107;0.26;108.07;844;5;5;99;0;0.0;0
10;146;1;5;5;0.0088;701500;0.07;69;6;16313;2;0;43;3;4;6;32.98;5.57;90;0.3;25.06;450;12;5;3;0;0.0;1
11;147;0;9;64;0.013999999999999999;1540845;0.17;37;13;26116;2;1;59;10;9;3;31.76;4.51;108;0.37;9.29;1975;12;5;d;0;0.0;0
0;148;2;5;5;0.1298;345000;0.15;6;3;12777;2;1;27;4;1;2;8.72;2.92;109;0.26;22.08;1610;11;6;1;1;8.72;1
1;66;2;4;40;0.023399999999999997;227525;0.23;42;3;17501;2;1;13;3;2;1;29.66;7.06;52;0.46;24.14;895;12;6;99;0;0.0;0
2;149;2;6;72;0.0245;313350;0.23;13;2;14243;2;1;22;5;3;4;24.99;5.72;110;0.55;15.27;843;21;6;d;0;0.0;0
3;150;2;5;36;0.21660000000000001;382249;0.2;30;3;10921;2;1;35;7;5;2;3.57;1.79;111;0.4;14.45;1803;10;6;99;0;0.0;0
